Today's Trade Activity for acct (Individual) on 10/24/25 18:45:11

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,10/24/25 09:51:38,STOCK,SELL,-75,TO CLOSE,NEUP,,,STOCK,8.30,8.30,-,MKT
,,10/24/25 09:51:01,STOCK,SELL,-50,TO CLOSE,NEUP,,,STOCK,8.0501,8.05,-,MKT
,,10/24/25 09:50:42,STOCK,BUY,+25,TO OPEN,NEUP,,,STOCK,8.04,8.04,-,STP
,,10/24/25 09:50:06,STOCK,BUY,+15,TO OPEN,NEUP,,,STOCK,7.60,7.60,-,STP
,,10/24/25 09:50:06,STOCK,BUY,+10,TO OPEN,NEUP,,,STOCK,7.60,7.60,-,STP
,,10/24/25 09:46:38,STOCK,SELL,-25,TO CLOSE,NEUP,,,STOCK,7.45,7.45,.75,MKT
,,10/24/25 09:43:44,STOCK,BUY,+100,TO OPEN,NEUP,,,STOCK,7.2163,7.2163,2.37,MKT
,,10/24/25 09:39:29,STOCK,SELL,-250,TO CLOSE,WGRX,,,STOCK,1.00,1.00,-,STP
,,10/24/25 09:37:31,STOCK,SELL,-50,TO CLOSE,WGRX,,,STOCK,1.0603,1.0604,.015,MKT
,,10/24/25 09:36:47,STOCK,BUY,+300,TO OPEN,WGRX,,,STOCK,1.0199,1.0199,.03,MKT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,10/24/25 09:51:36,STOCK,SELL,-75,TO CLOSE,NEUP,,,STOCK,8.51,LMT,DAY,CANCELED
,,10/24/25 09:50:58,STOCK,BUY,+25,TO OPEN,NEUP,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,8.47,STP,STD,
,,10/24/25 09:50:00,STOCK,SELL,-75,TO CLOSE,NEUP,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,6.46,STP,STD,
,,10/24/25 09:46:36,STOCK,SELL,-100,TO CLOSE,NEUP,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,6.11,STP,STD,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
