Today's Trade Activity for acct (Individual) on 11/13/25 18:55:47

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,11/13/25 10:49:27,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,1.11,1.11,-,MKT
,,11/13/25 10:45:25,SINGLE,BUY,+1,TO OPEN,SPY,13 NOV 25,675,PUT,.91,.91,-,STP

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,11/13/25 10:49:25,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,~,MKT,DAY,CANCELED
,,,RE #1004677806780,,,,,,,,.91,STP,STD,
,,11/13/25 10:48:59,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,~,MKT,DAY,CANCELED
,,,RE #1004677806748,,,,,,,,.92,STP,STD,
,,11/13/25 10:48:54,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,~,MKT,DAY,CANCELED
,,,RE #1004677806685,,,,,,,,.99,STP,STD,
,,11/13/25 10:48:35,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,~,MKT,DAY,CANCELED
,,,RE #1004677806657,,,,,,,,.92,STP,STD,
,,11/13/25 10:47:22,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,~,MKT,DAY,CANCELED
,,,RE #1004677806619,,,,,,,,.91,STP,STD,
,,11/13/25 10:47:05,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,~,MKT,DAY,CANCELED
,,,RE #1004677806597,,,,,,,,.77,STP,STD,
,,11/13/25 10:46:34,SINGLE,SELL,-1,TO CLOSE,SPY,13 NOV 25,675,PUT,~,MKT,DAY,CANCELED
,,,,,,,,,,,.89,STP,STD,
,,11/13/25 09:57:27,SINGLE,BUY,+1,TO OPEN,SPY,13 NOV 25,683,CALL,.32,LMT,DAY,CANCELED

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
