This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Today's Trade Activity for D-67336185 (margin) on 1/12/26 22:01:04

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,1/12/26 15:15:08,SINGLE,BUY,+3,TO OPEN,SPY,12 JAN 26,696,CALL,.14,.14,.00,MKT
,,1/12/26 14:31:56,SINGLE,SELL,-1,TO CLOSE,SPY,12 JAN 26,695,CALL,.93,.93,.00,LMT
,,1/12/26 14:31:51,SINGLE,SELL,-2,TO CLOSE,SPY,12 JAN 26,695,CALL,.68,.68,.00,LMT
,,1/12/26 13:43:44,SINGLE,BUY,+3,TO OPEN,SPY,12 JAN 26,695,CALL,.45,.45,.00,MKT
,,1/12/26 09:55:40,SINGLE,SELL,-1,TO CLOSE,OKLO,16 JAN 26,110,CALL,2.93,2.93,.00,MKT
,,1/12/26 09:46:48,SINGLE,BUY,+1,TO OPEN,OKLO,16 JAN 26,110,CALL,3.50,3.50,.00,MKT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,1/12/26 16:15:00,SINGLE,SELL,-3,TO CLOSE,SPY,12 JAN 26,696,CALL,~,MKT,DAY,EXPIRED
,,,RE #5285863004,,,,,,,,,,,
,,1/12/26 16:00:05,SINGLE,SELL,-100%,TO CLOSE,SPY,12 JAN 26,696,CALL,~,MKT,DAY,TRIGGERED
,,1/12/26 14:31:53,SINGLE,SELL,-2,TO CLOSE,SPY,12 JAN 26,695,CALL,~,MKT,DAY,CANCELED
,,,RE #5285781935,,,,,,,,.27,STP,STD,
,,,OCO #5285781933,,,,,,,,,,,
